id,codigo_ibge,nome,uf
930,2924702,Piripá,BA
931,2924801,Piritiba,BA
933,2924900,Planaltino,BA
934,2925006,Planalto,BA
939,2925204,Pojuca,BA
942,2925253,Ponto Novo,BA
944,2925303,Porto Seguro,BA
946,2925402,Potiraguá,BA
937,2925105,Poções,BA
948,2925501,Prado,BA
949,2925600,Presidente Dutra,BA
950,2925709,Presidente Jânio Quadros,BA
951,2925758,Presidente Tancredo Neves,BA
910,2924058,Pé de Serra,BA
954,2925808,Queimadas,BA
955,2925907,Quijingue,BA
957,2925931,Quixabeira,BA
958,2925956,Rafael Jambeiro,BA
960,2926004,Remanso,BA
962,2926103,Retirolândia,BA
967,2926400,Riacho de Santana,BA
963,2926202,Riachão das Neves,BA
964,2926301,Riachão do Jacuípe,BA
969,2926509,Ribeira do Amparo,BA
970,2926608,Ribeira do Pombal,BA
971,2926657,Ribeirão do Largo,BA
974,2926707,Rio de Contas,BA
975,2926806,Rio do Antônio,BA
978,2926905,Rio do Pires,BA
980,2927002,Rio Real,BA
981,2927101,Rodelas,BA
982,2927200,Ruy Barbosa,BA
985,2927309,Salinas da Margarida,BA
988,2927408,Salvador,BA
4718,1505205,Oeiras do Pará,PA
990,2927507,Santa Bárbara,BA
992,2927705,Santa Cruz Cabrália,BA
993,2927804,Santa Cruz da Vitória,BA
994,2927903,Santa Inês,BA
995,2928059,Santa Luzia,BA
996,2928109,Santa Maria da Vitória,BA
997,2928406,Santa Rita de Cássia,BA
998,2928505,Santa Teresinha,BA
999,2928000,Santaluz,BA
1000,2928208,Santana,BA
1002,2928307,Santanópolis,BA
1004,2928604,Santo Amaro,BA
1006,2928703,Santo Antônio de Jesus,BA
1007,2928802,Santo Estêvão,BA
1029,2929602,Sapeaçu,BA
1031,2929750,Saubara,BA
1033,2929800,Saúde,BA
1034,2929909,Seabra,BA
1035,2930006,Sebastião Laranjeiras,BA
1036,2930105,Senhor do Bonfim,BA
1037,2930204,Sento Sé,BA
1040,2930154,Serra do Ramalho,BA
1041,2930303,Serra Dourada,BA
1044,2930402,Serra Preta,BA
1045,2930501,Serrinha,BA
1046,2930600,Serrolândia,BA
1047,2930709,Simões Filho,BA
1055,2930774,Sobradinho,BA
1056,2930808,Souto Soares,BA
1030,2929701,Sátiro Dias,BA
1009,2928901,São Desidério,BA
1010,2928950,São Domingos,BA
1011,2929107,São Felipe,BA
1014,2929206,São Francisco do Conde,BA
1012,2929008,São Félix,BA
1013,2929057,São Félix do Coribe,BA
1015,2929255,São Gabriel,BA
1016,2929305,São Gonçalo dos Campos,BA
1019,2929354,São José da Vitória,BA
1021,2929370,São José do Jacuípe,BA
1024,2929404,São Miguel das Matas,BA
1027,2929503,São Sebastião do Passé,BA
1049,2930758,Sítio do Mato,BA
1051,2930766,Sítio do Quinto,BA
1059,2930907,Tabocas do Brejo Velho,BA
1064,2931004,Tanhaçu,BA
1065,2931053,Tanque Novo,BA
1066,2931103,Tanquinho,BA
1068,2931202,Taperoá,BA
1071,2931301,Tapiramutá,BA
1078,2931350,Teixeira de Freitas,BA
1079,2931400,Teodoro Sampaio,BA
1080,2931509,Teofilândia,BA
1081,2931608,Teolândia,BA
1082,2931707,Terra Nova,BA
1085,2931806,Tremedal,BA
1087,2931905,Tucano,BA
1088,2932002,Uauá,BA
74,2702405,Delmiro Gouveia,AL
75,2702504,Dois Riachos,AL
831,2921104,Medeiros Neto,BA
1090,2932200,Ubaitaba,BA
1091,2932309,Ubatã,BA
1089,2932101,Ubaíra,BA
1094,2932408,Uibaí,BA
1095,2932457,Umburanas,BA
1097,2932507,Una,BA
1098,2932606,Urandi,BA
1099,2932705,Uruçuca,BA
1110,2933174,Varzedo,BA
1113,2933208,Vera Cruz,BA
1114,2933257,Vereda,BA
1116,2933307,Vitória da Conquista,BA
1104,2933059,Várzea da Roça,BA
1107,2933109,Várzea do Poço,BA
1108,2933158,Várzea Nova,BA
1118,2933406,Wagner,BA
1119,2933455,Wanderley,BA
1120,2933505,Wenceslau Guimarães,BA
1121,2933604,Xique-Xique,BA
339,2900405,Água Fria,BA
1122,2300101,Abaiara,CE
1124,2300150,Acarape,CE
1125,2300200,Acaraú,CE
1126,2300309,Acopiara,CE
1131,2300408,Aiuaba,CE
1134,2300507,Alcântaras,CE
1137,2300606,Altaneira,CE
1138,2300705,Alto Santo,CE
1145,2300754,Amontada,CE
1149,2300804,Antonina do Norte,CE
1154,2300903,Apuiarés,CE
1156,2301000,Aquiraz,CE
1158,2301109,Aracati,CE
1161,2301208,Aracoiaba,CE
1168,2301257,Ararendá,CE
1169,2301307,Araripe,CE
1173,2301406,Aratuba,CE
1176,2301505,Arneiroz,CE
1180,2301604,Assaré,CE
1183,2301703,Aurora,CE
1185,2301802,Baixio,CE
1187,2301851,Banabuiú,CE
1190,2301901,Barbalha,CE
1196,2301950,Barreira,CE
1203,2302008,Barro,CE
1205,2302057,Barroquinha,CE
1206,2302107,Baturité,CE
1208,2302206,Beberibe,CE
1209,2302305,Bela Cruz,CE
1218,2302404,Boa Viagem,CE
1229,2302503,Brejo Santo,CE
1247,2302602,Camocim,CE
1250,2302701,Campos Sales,CE
1256,2302800,Canindé,CE
1260,2302909,Capistrano,CE
1264,2303006,Caridade,CE
1266,2303204,Caririaçu,CE
1265,2303105,Cariré,CE
1267,2303303,Cariús,CE
1270,2303402,Carnaubal,CE
1278,2303501,Cascavel,CE
1280,2303600,Catarina,CE
1283,2303659,Catunda,CE
1284,2303709,Caucaia,CE
1287,2303808,Cedro,CE
